index,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
1180,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3480,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4218,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
1182,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
3234,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2414,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
1595,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
2660,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2701,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3808,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
770,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
771,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
772,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
773,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
3152,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
779,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
4833,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
778,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
777,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance,0,0,0,0,0,0,0,0,0,0,0,0
774,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
775,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
3849,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4259,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
1594,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
2906,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3890,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
1593,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
1592,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
1591,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
1590,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4546,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4710,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4177,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3111,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4300,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3193,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2742,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4874,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3357,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3562,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4587,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2415,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
1181,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2417,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance,0,0,0,0,0,0,0,0,0,0,0,0
3685,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2578,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
3521,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2496,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2416,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
3972,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4423,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
360,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
361,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4054,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
362,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
2824,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
363,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
3439,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
364,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
4013,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
366,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
367,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance,0,0,0,0,0,0,0,0,0,0,0,0
368,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
4628,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
369,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
4669,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
2988,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,0,0,0,0,0,0,0,0,0,0,0
1295,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
473,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4352,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2548,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3614,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3737,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3163,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
476,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
477,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3409,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
479,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4434,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3819,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
880,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3040,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4229,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
882,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4393,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4803,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3081,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2999,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3450,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
888,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4516,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
889,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2589,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3696,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4762,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2466,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4721,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2507,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2671,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
887,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2958,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
884,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3122,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
883,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
886,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
471,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4475,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3368,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3778,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
472,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3655,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
478,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3245,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2753,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4885,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2835,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3983,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4024,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4680,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4598,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
4065,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3942,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
63,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4147,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
62,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,AIDS, muscle_wasting, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2794,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
61,AIDS, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3204,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
64,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3532,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AIDS, muscle_wasting, patches_in_throat, high_fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2876,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
3573,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Acne, pus_filled_pimples, blackheads, scurring,0,0,0,0,0,0,0,0,0,0,0,0,0,0
